FIVE COLUMNS ANALYSIS (ONLY IF APPROPRIATE)
PLAN STAGE,,,,,,,,,EVALUATE STAGE,
Decision-Maker,# Seats,"""++""","""+""","""0""","""-""","""--""",Target (Y/N),Comments,Vote (Y/N),Comments
"Neil O'Brien (Conservative, Harborough, Oadby and Wigston)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"David Simmonds (Conservative, Ruislip, Northwood and Pinner)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Sir Gavin Williamson (Conservative, Stone, Great Wyrley and Penkridge)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Carla Lockhart (Democratic Unionist Party, Upper Bann)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2026-09-11 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [unscored] | 2026-09-11 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [unscored] | 2025-11-05 DEBATE: Spoke: Violence against Women and Girls ""The Minister will know that I am unashamedly pro-life. While I strongly welcome the Government’s commitment to ending violence against women and girls, surely that must mean protecting women from harm and coercion in every setting. Given the serious..."" [++: Declares self pro-life, raises coercion risks of abortion pills by post] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [0: Focuses on devolution procedure for Northern Ireland, not on assisted dying merits itself] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [+: Supports safeguard amendment requiring scientific consensus, cites doctors' opposition letter] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-06-13 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [++: Highlights weak regulatory safeguards for lethal drugs in assisted dying bill, opposing its provisions] | [evidence truncated]",,
"Gavin Robinson (Democratic Unionist Party, Belfast East)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2020-01-07 EDM-SIGNED: Signed EDM: Tribute to Ron Hogg CBE (re: assisted dying) [-: Praises passionate campaigning for assisted dying law change without any critical framing] | 2019-03-26 EDM-SIGNED: Signed EDM: ROYAL COLLEGE OF PHYSICIANS NEUTRAL STANCE ON ASSISTED DYING [++: Criticises RCP dropping opposition to assisted dying, urges reinstatement] | 2015-09-11 DEBATE: Spoke: Assisted Dying (No. 2) Bill ""Assisted Dying (No. 2) Bill"" [++: Speaker's heart and head oppose the Bill, citing failings in safeguards]",,
"Jim Shannon (Democratic Unionist Party, Strangford)",,1,0,0,0,0,,"CONFLICTING SIGNALS - review all evidence | 2026-09-11 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [unscored] | 2026-09-11 DEBATE: Spoke: Terminally Ill Adults (End of Life) Bill ""Terminally Ill Adults (End of Life) Bill"" [unscored] | 2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2026-06-08 DEBATE: Spoke: Progression of Bills through Parliament (re: assisted suicide) ""The House of Lords is constitutionally entitled to subject proposals to sustained scrutiny, arguably especially on a morally significant subject such as assisted suicide. The assisted suicide Bill was introduced as a private Member’s Bill, but it did not have..."" [0: Procedural discussion of parliamentary scrutiny process, no assisted dying stance] | 2026-06-08 DEBATE: Spoke: Progression of Bills through Parliament (re: assisted dying) ""The second myth that needs to be dispelled is the absurd accusation of the blocking or filibustering the assisted dying Bill by just a small handful of Lords. Amendments were tabled or co-signed by more than 90 peers, and some 140 peers with a range of views..."" [++: Defends peers' extensive scrutiny and opposition to assisted dying bill against 'rubber stamp' claims] | 2025-10-30 DEBATE: Spoke:  Ageing and End-of-life Care (re: assisted dying) ""Those visits to the nursing home, coupled with the focus on assisted dying, have highlighted to me with greater effect the changes that are needed in how we handle our older generation and their needs. I have spoken with representatives of both Sue Ryder and..."" [+: Uses assisted dying debate to push for better end-of-life care rather than assisted dying itself] | 2025-09-10 DEBATE: Spoke: Equality Act 2010: Impact on  British Society (re: freedom of religion or belief) ""I have had great concerns over the abortion legislation, the assisted dying legislation, welfare reform and family inheritance tax. Those are massive issues for my constituents; I have received thousands of emails about them. But even though we may not win..."" [+: Voices concern over abortion and assisted dying legislation, aligning with pro-life stance] | 2025-07-17 DEBATE: Spoke: Freedom of Religion or Belief: UK Foreign Policy ""From the persecution of Christians in Nigeria and Pakistan to the systematic repression of Uyghur Muslims in China, the silencing of Baha’i in Iran and the marginalisation of atheists and humanists across the globe, the landscape of belief is under threat...."" [++: Passionately champions freedom of religion or belief globally, honouring persecuted believers] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | [evidence truncated]",,
"Mr Gregory Campbell (Democratic Unionist Party, East Londonderry)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2006-07-03 EDM-SIGNED: Signed EDM: BRITISH MEDICAL ASSOCIATION AND EUTHANASIA [++: Welcomes BMA vote opposing legalisation of euthanasia and assisted suicide]",,
"Sammy Wilson (Democratic Unionist Party, East Antrim)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote] | 2023-11-29 EDM-SIGNED: Signed EDM: Verification of gestational age for at-home abortions [++: Supports reinstating in-person checks before abortion pills, restricting at-home abortion access] | 2021-05-11 EDM-SIGNED: Signed EDM: At home abortions [++: Calls to end at-home abortion pills over safety and coercion concerns, pro-life aligned] | 2019-03-26 EDM-SIGNED: Signed EDM: ROYAL COLLEGE OF PHYSICIANS NEUTRAL STANCE ON ASSISTED DYING [++: Criticises RCP dropping opposition to assisted dying, urges reinstatement] | 2006-07-03 EDM-SIGNED: Signed EDM: BRITISH MEDICAL ASSOCIATION AND EUTHANASIA [++: Welcomes BMA vote opposing legalisation of euthanasia and assisted suicide] | 2006-03-29 EDM-SIGNED: Signed EDM: ASSISTED DYING IN THE UK AND OVERSEAS [++: Opposes euthanasia lobby framing, defends disability rights against assisted dying]",,
"Alex Easton (Independent, North Down)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 94 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Amendment 77 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 12 [0: Assisted dying bill amendment; effect unclear from title alone; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment 24 [++: Tracker sign-off (assisted-suicide side aye): Supported Daniel Francis's amendment requiring a person's mental capacity to be established, rather than presumed, before they could be found eligible; free vote] | 2025-06-20 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 16 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's clause making a person ineligible if their wish was substantially motivated by feeling a burden, a mental disorder, a disability, financial considerations, lack of access to care, or suicidal ideation; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
"Ayoub Khan (Independent, Birmingham Perry Barr)",,1,0,0,0,0,,"2026-09-11 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide-2026 side no): Voted to stop the Bill at its first Commons hurdle, defeating it; free vote] | 2025-06-20 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Third Reading [++: Tracker sign-off (assisted-suicide side no): Voted to reject the Bill at its final Commons stage; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 2 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from discussing assisted suicide with a person under 18 (added to the Bill); free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: New Clause 1 [++: Tracker sign-off (assisted-suicide side aye): Supported Dame Meg Hillier's clause preventing health professionals from raising assisted suicide with a patient unless the patient raised it first; free vote] | 2025-06-13 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill: Amendment (b) to New Clause 14 [0: Amendment to end of life bill, effect unclear from title alone; free vote] | 2025-05-16 VOTE: Voted Aye: Terminally Ill Adults (End of Life) Bill Report Stage: Amendment (a) to New Clause 10 [++: Tracker sign-off (assisted-suicide side aye): Supported Rebecca Paul's amendment to extend the opt-out beyond individuals, so that employers and organisations such as hospices and care homes could decline to take part in assisted suicide; free vote] | 2024-11-29 VOTE: Voted No: Terminally Ill Adults (End of Life) Bill: Second Reading [++: Tracker sign-off (assisted-suicide side no): Voted to stop the Bill at its first Commons hurdle; free vote]",,
